optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
SPSA,2,4,-1.4336397091449864,0.04363505872930522,5.4806989999488,96,96
SPSA,2,5,0.028965488337984874,0.0008964295074440331,33.43440200004261,499,499
SPSA,2,6,-0.14196005804535985,0.01107413982896225,58.80440283403732,765,765
SPSA,2,7,-1.5098308714804607,0.010064276526900222,124.84188716695644,1423,1423
SPSA,2,8,-0.14160521052241265,0.0003907231401478757,36.851214083028026,378,378
SPSA,2,9,-0.680207972107735,0.010709904945655184,107.65731841698289,1004,1004
SPSA,2,10,-0.2968558355814326,0.003315748516361808,64.0250467499718,546,546
SPSA,2,11,-0.05710001682881655,0.0012199684657238784,23.9748618749436,189,189
SPSA,2,12,-0.6051020598014387,0.005838569246848103,120.47338549990673,881,881
SPSA,2,13,0.14001905271973425,0.0017007101866986871,131.67511537496466,898,898
SPSA,2,14,0.07198650646270224,0.0009569863963576008,63.536625333013944,406,406
SPSA,2,15,-0.19636932539127774,0.003717178690067225,2.765181833994575,17,17
SPSA,3,1,2.4794076126788873,0.010167098145798557,0.6245464580133557,18,18
SPSA,3,2,2.094548463343404,0.012632142841533873,19.927517500007525,422,422
SPSA,3,3,2.5228251584215298,0.02451860775028936,14.615820707986131,248,248
SPSA,3,4,2.5964176203860783,0.0002155612195785493,84.36620087502524,1188,1188
SPSA,3,5,2.3745068610855156,0.03662342275151374,88.41471608390566,1059,1059
SPSA,3,6,1.440738583183648,0.0679085801106464,116.219018667005,1217,1217
SPSA,3,7,2.6942980588559435,0.01183540213551349,752.1099662500201,7002,7002
SPSA,3,8,2.5033451052714804,0.0003825036442419931,423.29119958297815,3551,3551
SPSA,3,9,1.7571068493314148,0.07141366412408624,121.58973879099358,928,928
SPSA,3,10,2.529785334241247,0.0011593390109723915,218.75506758398842,1529,1529
SPSA,3,11,1.6789495330257782,0.10121108495817156,195.3101599169895,1261,1261
SPSA,3,12,2.0510775412007103,0.062431372441945604,1677.3812627090374,10000,10000
SPSA,3,13,3.3963780642765458,0.01967258280033215,742.3401084160432,4122,4122
SPSA,3,14,3.0725683527998147,0.07555408187669865,648.0560105830664,3374,3374
SPSA,3,15,2.370049923208067,0.012391399374458698,944.1716798749985,4644,4644
SPSA,4,1,7.467062876609987,0.009742578496071911,0.3339208329562098,7,7
SPSA,4,2,7.553032174058809,0.019281250845100503,14.50532379199285,224,224
SPSA,4,3,7.827242247413703,0.005577470633282653,22.006087915971875,273,273
SPSA,4,4,7.453234838265517,0.014555110638827659,80.48953100002836,831,831
SPSA,4,5,7.481581972290228,0.00640117501629423,86.7313935420243,771,771
SPSA,4,6,7.741315815868866,0.007970002604781059,511.3430900409585,4001,4001
SPSA,4,7,8.306030356131442,0.0008690797176937341,528.9595841250848,3690,3690
SPSA,4,8,8.421547854595682,0.005077995694887789,1252.988344124984,7884,7884
SPSA,4,9,8.511648194367117,0.003388877302623042,332.040438291966,1892,1892
SPSA,4,10,7.45837030838156,0.0014267315202199362,309.946669041994,1625,1625
SPSA,4,11,8.201979290956704,0.02163124825902539,1265.3753567079548,6125,6125
SPSA,4,12,7.558529606104555,0.0025108708534044098,1002.0968542919727,4507,4507
SPSA,4,13,8.071489614018768,0.00826634487635684,1400.6722056670114,6065,6065
SPSA,4,14,7.366693464891066,0.030856040460408858,1783.5442323340103,7221,7221
SPSA,4,15,7.61064489958312,0.00018199284909551698,1127.7864693750162,4300,4300
